"Feature.ID","Old.Taxon","Domain","Phylum","Subphylum","Order","Family","Genus","Species","Confidence","Taxon"
"a1e65d385dab9e9409e2433e21f90944","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Altererythrobacter;D_6__uncultured bacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter","uncultured bacterium",0.959359762704901,"Bacteria_Proteobacteria_Sphingomonadales_Sphingomonadaceae_Altererythrobacter_uncultured bacterium_5"
"3f9e7b9f709f6c48a55cc1443ca45702","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Christensenellaceae;D_5__Christensenellaceae R-7 group;D_6__uncultured bacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group","uncultured bacterium",0.800692522469818,"Bacteria_Firmicutes_Clostridiales_Christensenellaceae_Christensenellaceae R-7 group_uncultured bacterium_4"
"00f23c868b53e87ba8bffeeee64f5b25","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Candidatus Soleaferrea;D_6__uncultured Clostridiales bacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus Soleaferrea","uncultured Clostridiales bacterium",0.982531145159844,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Candidatus Soleaferrea_uncultured Clostridiales bacterium_25"
"66075c5a57d370ce32ae25a57753bb80","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Candidatus Soleaferrea","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus Soleaferrea",NA,0.997152565235497,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Candidatus Soleaferrea_31"
"13df44aa24db8c5303d4fc841905420e","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Hydrogenoanaerobacterium;D_6__uncultured bacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Hydrogenoanaerobacterium","uncultured bacterium",0.921623528798332,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Hydrogenoanaerobacterium_uncultured bacterium_6"
"1e5fb74db7fc5d9e2912f8517c7747ed","D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6","Bacteria","Acidobacteria","Subgroup 6",NA,NA,NA,NA,0.999999999941759,"Bacteria_Acidobacteria_36"
"71522093483d25328d4473e7fd65e414","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae NK4A214 group;D_6__uncultured Firmicutes bacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae NK4A214 group","uncultured Firmicutes bacterium",0.84226373595342,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Ruminococcaceae NK4A214 group_uncultured Firmicutes bacterium_23"
"f26b53fbbec354936b9c4d097edac0f4","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Rs-K70 termite group;D_4__uncultured delta proteobacterium;D_5__uncultured delta proteobacterium;D_6__uncultured delta proteobacterium","Bacteria","Proteobacteria","Deltaproteobacteria","Rs-K70 termite group","uncultured delta proteobacterium",NA,NA,0.960486234480335,"Bacteria_Proteobacteria_Rs-K70 termite group_uncultured delta proteobacterium_2"
"26eed1bc408ce25a0e91101cd5099a7c","D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__67-14;D_5__uncultured bacterium;D_6__uncultured bacterium","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","uncultured bacterium",NA,0.999550158886547,"Bacteria_Actinobacteria_Solirubrobacterales_67-14_uncultured bacterium_16"
"654b3b5633ec0f2838e08b7dc3bd2d2d","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Candidatus Soleaferrea;D_6__uncultured Clostridiales bacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus Soleaferrea","uncultured Clostridiales bacterium",0.996992721819686,"Bacteria_Firmicutes_Clostridiales_Ruminococcaceae_Candidatus Soleaferrea_uncultured Clostridiales bacterium_26"
