"Sample.ID","Lifestage","Gut.Region","Stage.Gut","Sex","Domain","Phylum","Abundance","totalAbun","relativeAbun"
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Planctomycetes",154,6826,2.25607969528274
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Proteobacteria",273,6826,3.99941400527395
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Rokubacteria",7,6826,0.102549077058306
"Ileum12","larva","ileum","Larval ileum","","Bacteria","RsaHF231",121,6826,1.77263404629358
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Tenericutes",705,6826,10.3281570465866
"Ileum12","larva","ileum","Larval ileum","","Bacteria","Verrucomicrobia",73,6826,1.06944037503662
"Ileum17","larva","ileum","Larval ileum","","Archaea","Euryarchaeota",3,10720,0.0279850746268657
"Ileum17","larva","ileum","Larval ileum","","Archaea","Thaumarchaeota",28,10720,0.261194029850746
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Acidobacteria",45,10720,0.419776119402985
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Actinobacteria",1097,10720,10.2332089552239
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Bacteroidetes",986,10720,9.19776119402985
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Chloroflexi",288,10720,2.6865671641791
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Coprothermobacteraeota",2,10720,0.0186567164179104
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Cyanobacteria",2,10720,0.0186567164179104
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Firmicutes",6881,10720,64.1884328358209
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Gemmatimonadetes",6,10720,0.0559701492537313
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Planctomycetes",153,10720,1.42723880597015
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Proteobacteria",458,10720,4.27238805970149
"Ileum17","larva","ileum","Larval ileum","","Bacteria","RsaHF231",51,10720,0.475746268656716
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Synergistetes",5,10720,0.0466417910447761
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Tenericutes",674,10720,6.28731343283582
"Ileum17","larva","ileum","Larval ileum","","Bacteria","Verrucomicrobia",41,10720,0.382462686567164
"Ileum18","larva","ileum","Larval ileum","","Bacteria","Actinobacteria",371,5812,6.38334480385409
"Ileum18","larva","ileum","Larval ileum","","Bacteria","Atribacteria",3,5812,0.0516173434273916
"Ileum18","larva","ileum","Larval ileum","","Bacteria","Chloroflexi",48,5812,0.825877494838266
"Ileum18","larva","ileum","Larval ileum","","Bacteria","Cyanobacteria",13,5812,0.22367515485203
"Ileum18","larva","ileum","Larval ileum","","Bacteria","Firmicutes",4824,5812,83.0006882312457
